,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count
Document,Britain and the world,Business Environment,Chapter,Foreword from the Prime Minister,Grand Challenges,Ideas,Infrastructure,Introduction,People,Places
across,0.000916178397024577,0.0004142832481040671,0.0,0.00038243381364002303,0.0005605702631908674,0.00039356817538629924,0.0004800934831569835,0.0006555765418709195,0.0005428715769673658,0.001130988586157458
act,0.0,0.00024103127890814284,0.0,0.0,0.00025884247467240475,0.0002244893973922174,0.00038794427474159155,0.00022703361056266254,0.00031584436753874116,0.0
acting,0.0,0.0005680903449162958,0.0,0.0,0.0,0.0,0.00022858796360849366,0.0,0.0,0.00034010531195647915
action,0.0007753803129102878,0.0002804930354975876,0.0,0.0,0.0004518304331628229,0.0,0.00020315641386295749,0.00031704439461220657,0.0005880872942106058,0.00010075563388099786
actions,0.0,0.00016068751927209523,0.0,0.0009270882463992572,0.00012942123733620237,0.0,0.0,0.0006811008316879876,0.00031584436753874116,0.00014430102366270924
active,0.0030136833937388927,0.00032705906600815287,0.0,0.0,0.00017561367635164564,0.0001523065657130181,0.0,0.0,0.0001428580339158997,0.0
actively,0.0,0.0,0.0,0.0,0.0004077623289673424,0.0,0.000611140274324701,0.0,0.0,0.0
activities,0.0,0.00032705906600815287,0.0,0.0,0.0,0.0003046131314260362,0.00013160189492309574,0.0,0.0001428580339158997,0.00019580428829376985
activity,0.0,0.0001893634483054319,0.0,0.0,0.0,0.0005291025288182537,0.0,0.0,0.0,0.00034010531195647915
actors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004745641164455989,0.0
acute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004745641164455989,0.0
acutely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010233711524417982,0.0,0.0
ad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010233711524417982,0.0,0.0
ada,0.0,0.0,0.0,0.0,0.0,0.00035364489396486493,0.0,0.0,0.00033170608252969914,0.0
adapt,0.0,0.0,0.0,0.0,0.0009285946104627871,0.0,0.00034793648447850963,0.0008144806505548046,0.000377696097227599,0.0
adapting,0.0,0.0,0.0,0.0,0.0004077623289673424,0.00035364489396486493,0.0,0.0,0.0,0.0
adapts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006634121650593983,0.0004546434780887289
add,0.0,0.0002531358780173168,0.0,0.0,0.0008155246579346848,0.0,0.0,0.0,0.0,0.0
added,0.0,0.0005062717560346336,0.0,0.0,0.0,0.0,0.0,0.0007153057388596002,0.0,0.0
adding,0.0,0.0005062717560346336,0.0,0.0,0.0,0.0,0.0003055701371623505,0.0,0.0,0.0
addition,0.0,0.0,0.0,0.0,0.0,0.00026455126440912683,0.0013715277816509618,0.0,0.0,0.0006802106239129583
additional,0.0,0.00022439442839807008,0.0,0.0,0.00027109825989769375,0.00031349149104700714,0.00040631282772591497,0.00015852219730610328,0.0002940436471053029,0.0006045338032859871
additive,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
address,0.00022904459925614424,8.285664962081344e-05,0.0,0.00038243381364002303,5.338764411341594e-05,0.00011575534570185272,8.001558052616392e-05,9.365379169584565e-05,0.00010857431539347315,5.9525715060918846e-05
addressing,0.0019919363736394676,0.0,0.0,0.0,0.0,0.0,0.0,0.0024434419516644137,0.0005665441458413984,0.0010353567591798363
adds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004745641164455989,0.0
